latitude,longitude
57.099239,-2.255397
57.099855,-2.257349
57.100709,-2.257338
57.102019,-2.266657
57.103202,-2.26787
57.102116,-2.267351
57.100434,-2.255669
57.100412,-2.257254
57.099453,-2.260631
57.098937,-2.258234
57.098526,-2.25729
57.096006,-2.263907
57.09641,-2.26419
57.097227,-2.26418
57.101962,-2.268208
57.102085,-2.269133
57.098298,-2.263181
57.102509,-2.26846
57.1027,-2.267124
57.097556,-2.265717
57.096962,-2.266142
57.09796,-2.265951
57.102149,-2.268936
57.097831,-2.267452
57.096763,-2.266933
57.099301,-2.26469
57.098574,-2.264387
57.098699,-2.264751
57.099394,-2.263436
57.09972,-2.262167
57.100788,-2.26234
57.100582,-2.261992
57.100075,-2.259744
57.100242,-2.261362
57.097784,-2.26831
57.099975,-2.264595
57.100298,-2.264944
57.100322,-2.266133
57.100675,-2.264815
57.101052,-2.265049
57.100897,-2.266286
57.100632,-2.268017
57.100911,-2.268101
57.101557,-2.268486
57.101342,-2.267989
57.100284,-2.267239
57.099851,-2.26811
57.099231,-2.267875
57.099127,-2.270498
57.098079,-2.269137
57.096358,-2.267507
57.094239,-2.271007
57.095963,-2.267042
57.096038,-2.269832
57.097305,-2.269544
57.09735,-2.269825
57.096538,-2.271206
57.095998,-2.271796
57.095302,-2.269447
57.097938,-2.271909
57.09954,-2.270468
57.096167,-2.276633
57.095947,-2.274683
57.095604,-2.275242
57.096808,-2.275036
57.097277,-2.274446
57.097499,-2.275471
57.097718,-2.274036
57.095994,-2.273644
57.100415,-2.273148
57.102753,-2.27617
57.102156,-2.277816
57.102275,-2.277008
57.103872,-2.269773
57.102984,-2.268925
57.104165,-2.271228
57.103429,-2.27081
57.10449,-2.274763
57.103861,-2.274874
57.102776,-2.277903
57.107724,-2.234935
57.107724,-2.234935
57.107724,-2.234935
57.107724,-2.234935
57.147641,-2.093853
57.148001,-2.092532
57.148271,-2.091872
57.148361,-2.091872
57.149616,-2.095329
57.149724,-2.094735
57.148513,-2.092847
57.148978,-2.095675
57.148178,-2.096168
57.148321,-2.097507
57.147774,-2.0963
57.147387,-2.097059
57.149684,-2.10037
